TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,target,bin_TransactionAmount,bin_CustomerAge
51879672.355025,649,1,36,0,270214.00000000006,0,6815010.0,21.0,1131422496180.8015,105,1,1,0
1385310656.8983998,1126,1,15,0,262526.00000000006,0,11861010.0,21.0,3045087598472.5503,192,2,1,0
464998425.5395251,1206,1,23,2,74170.0,3,4712510.0,21.0,248397082435.70178,41,2,1,1
679326791.16225,783,1,33,2,101078.0,3,2105410.0,21.0,1896483526268.2603,163,1,1,1
339295446.62937504,607,1,28,0,70326.0,3,14468110.0,21.0,173000886152.98935,13,1,1,3
26068955.244300004,292,0,39,0,143362.00000000003,0,11692810.0,21.0,2947221047275.7456,226,1,1,1
631166423.14395,800,0,16,1,258682.00000000006,2,24476010.0,21.0,618858053450.671,271,2,1,0
391137799.970175,532,0,11,1,197178.00000000003,1,7235510.0,21.0,2012914180392.2202,290,1,1,2
3004353242.9081006,583,1,26,0,212554.00000000003,0,10094910.0,21.0,226161323958.21887,9,1,2,2
65466198.19505,494,0,0,2,201022.00000000003,1,4964810.000000001,21.0,1681907461032.2812,22,1,1,2
699651350.1424501,223,1,22,2,81858.0,3,14552210.0,21.0,338353750005.7001,49,1,1,1
1820815880.8437,992,0,23,1,93390.0,3,9338010.0,21.0,358540109423.7475,135,2,1,1
2878429344.8786,2069,1,22,0,101078.0,3,10347210.0,21.0,41983202654.58043,43,0,2,1
614855228.1652751,270,1,21,2,70326.0,3,11272310.0,21.0,66381232061.94306,226,1,1,3
1713780567.5186248,2242,1,10,0,139518.00000000003,1,10851810.0,21.0,766985784604.0437,355,0,1,1
2046447941.4064999,1936,0,2,1,74170.0,3,13290710.0,21.0,250369020407.57776,72,0,1,1
1814961524.1809251,2255,1,8,2,151050.00000000003,1,19682310.0,21.0,1130926745220.42,327,0,1,2
68779984.9853,337,0,0,1,227930.00000000003,2,8917510.0,21.0,1759114033589.9595,337,1,1,0
263188810.01330006,1005,0,8,2,70326.0,3,14215810.0,21.0,1453744721038.3376,177,2,1,3
218415868.49170005,395,1,20,1,274058.00000000006,2,3198709.9999999995,21.0,1272773488759.6692,181,1,1,0
